epoch,datetime,talk,speaker,chair,questions,comments
1452184414,2016-01-07 08:33:34,312.11,M,F,M, ;
1452185006,2016-01-07 08:43:26,312.13,M,M,MMM, ;
1452187677,2016-01-07 09:27:57,306.07d,F,F,MMM, ;
1452187865,2016-01-07 09:31:05,314.01,F,M,FMF, ;
1452187953,2016-01-07 09:32:33,314,F,M,FM, ;
1452193816,2016-01-07 11:10:16,316.01,M,M,F, ;
1452194015,2016-01-07 11:13:35,324.01,M,M,MM, ;
1452194027,2016-01-07 11:13:47,324.01,M,M,M,F clearly raised hand first - there was a pause - M raised hand - M was called on ;
1452194488,2016-01-07 11:21:28,318.01D,M,M,FM, ;
1452194533,2016-01-07 11:22:13,324.02,M,M,F, ;
1452194535,2016-01-07 11:22:15,324.02,M,M,F, ;
1452194935,2016-01-07 11:28:55,321.03,F,F,MFMF, ;
1452195051,2016-01-07 11:30:51,324.03,M,M,MM, ;
1452195081,2016-01-07 11:31:21,324.03,M,M,M, ;
1452195088,2016-01-07 11:31:28,318.02,M,F,M, ;
1452195117,2016-01-07 11:31:57,316.02,M,F,MMF, ;
1452195296,2016-01-07 11:34:56,327.03,M,M,F, ;
1452195544,2016-01-07 11:39:04,316.03,M,M,MFM, ;
1452195549,2016-01-07 11:39:09,316.03,M,M,MFM, ;
1452195563,2016-01-07 11:39:23,321.04,F,M,M, ;
1452195639,2016-01-07 11:40:39,324.04,M,M,MF, ;
1452195648,2016-01-07 11:40:48,324.04,M,M,MF, ;
1452195978,2016-01-07 11:46:18,327.04,M,F,, ;
1452196123,2016-01-07 11:48:43,319.01,F,M,MMF, ;
1452196164,2016-01-07 11:49:24,319.02,F,M,MMMF, ;
1452196179,2016-01-07 11:49:39,319.03,F,M,M, ;
1452196204,2016-01-07 11:50:04,,F,M,MM, ;
1452196214,2016-01-07 11:50:14,319.04,F,M,MFF, ;
1452196279,2016-01-07 11:51:19,324.05,M,F,FM, ;
1452196282,2016-01-07 11:51:22,324.05,M,F,FM, ;
1452196737,2016-01-07 11:58:57,316.04,M,F,FMFM, ;
1452196991,2016-01-07 12:03:11,324.06,M,F,M, ;
1452197285,2016-01-07 12:08:05,324.06,M,F,M, ;
1452197344,2016-01-07 12:09:04,327.06,M,M,M, ;
1452197416,2016-01-07 12:10:16,321.07,F,F,MMF, ;
1452197449,2016-01-07 12:10:49,316.05,M,F,MMMM, ;
1452197539,2016-01-07 12:12:19,319.05,F,M,FMMM, ;
1452198019,2016-01-07 12:20:19,321.08,F,F,MMF, ;
1452198066,2016-01-07 12:21:06,316.06,M,M,MM, ;
1452198125,2016-01-07 12:22:05,319.06,F,M,MF, ;
1452258911,2016-01-08 05:15:11,319.07,F,M,MMF, ;
1452262887,2016-01-08 06:21:27,400,F,F,MMFFMMM,One person used as opportunity to promote own science  ;
1452265776,2016-01-08 07:09:36,407.01,M,M,MM, ;
1452265984,2016-01-08 07:13:04,,F,F,FM, ;
1452266923,2016-01-08 07:28:43,407.02,M,F,MMMM, ;
1452267379,2016-01-08 07:36:19,407.03,M,M,, ;
1452267450,2016-01-08 07:37:30,,F,F,MFM, ;
1452267588,2016-01-08 07:39:48,400.01,F,F,MMFFM, ;
1452267614,2016-01-08 07:40:14,408.01,M,F,FMMM, ;
1452267652,2016-01-08 07:40:52,408.02,M,M,MMFM, ;
1452267684,2016-01-08 07:41:24,408.03,M,M,MMM, ;
1452268052,2016-01-08 07:47:32,,F,M,M, ;
1452268150,2016-01-08 07:49:10,407.04,M,M,MMM, ;
1452268697,2016-01-08 07:58:17,407.05,M,M,FM, ;
1452268925,2016-01-08 08:02:05,406.04,,F,MFM, ;
1452269079,2016-01-08 08:04:39,408.04,M,M,MFFM, ;
1452269251,2016-01-08 08:07:31,407.06,M,M,MM, ;
1452269365,2016-01-08 08:09:25,406.07,F,M,FMF, ;
1452269858,2016-01-08 08:17:38,407.07,M,F,MM, ;
1452270296,2016-01-08 08:24:56,406.08D,F,F,F, ;
1452270570,2016-01-08 08:29:30,407.08,M,M,MMMM, ;
1452271295,2016-01-08 08:41:35,408.05,M,M,MMFMM, ;
1452274118,2016-01-08 09:28:38,414,M,M,MM, ;
1452280211,2016-01-08 11:10:11,419.01,M,F,MM, ;
1452280290,2016-01-08 11:11:30,416.01,M,M,MMFM, ;
1452280814,2016-01-08 11:20:14,420.02,M,M,FMM, ;
1452280954,2016-01-08 11:22:34,416.02,M,F,MM, ;
1452280973,2016-01-08 11:22:53,419.02,M,F,MM, ;
1452281103,2016-01-08 11:25:03,419.03,M,F,MM, ;
1452281190,2016-01-08 11:26:30,419.03,M,F,MM, ;
1452281770,2016-01-08 11:36:10,419.04,M,M,MF, ;
1452281812,2016-01-08 11:36:52,422.01,M,F,MF, ;
1452281830,2016-01-08 11:37:10,422.02,M,M,FM, ;
1452281904,2016-01-08 11:38:24,420.03D,M,M,MMFM, ;
1452281967,2016-01-08 11:39:27,422.03,M,M,MMF, ;
1452282220,2016-01-08 11:43:40,416.03D,M,M,MM, ;
1452282564,2016-01-08 11:49:24,419.05,M,F,MMMM, ;
1452282784,2016-01-08 11:53:04,416.04,M,M,MM, ;
1452282972,2016-01-08 11:56:12,422.04,M,M,MFM, ;
1452283169,2016-01-08 11:59:29,419.06,M,M,MM, ;
1452283444,2016-01-08 12:04:04,416.05,M,M,FM, ;
1452283744,2016-01-08 12:09:04,422.05,M,F,FFM, ;
1452283826,2016-01-08 12:10:26,419.07,M,M,MM, ;
1452283849,2016-01-08 12:10:49,425.05d,M,F,MMM, ;
1452284099,2016-01-08 12:14:59,416.06,M,M,MMF,Chair asked first question after no initial questions. ;
1452284182,2016-01-08 12:16:22,420.06,M,M,MMM, ;
1452284388,2016-01-08 12:19:48,422.06,M,M,MFF, ;
1452284388,2016-01-08 12:19:48,419.08,M,M,M, ;
1452285002,2016-01-08 12:30:02,419.09,M,M,MMF, ;
