####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains male-only names
# columns: Male_name, number_of_uses
Abraar,      5.0000000
Abraham,  55077.0000000
Abrahan,    873.0000000
Abraheem,     17.0000000
Abrahem,     30.0000000
Abrahim,    461.0000000
Abrahm,    514.0000000
Abram,   9613.0000000
Abran,   1477.0000000
Abrar,    267.0000000
Abren,      6.0000000
Abrham,    126.0000000
Abriam,      5.0000000
Abrian,    229.0000000
Abriel,    204.0000000
Abrien,     27.0000000
Abril,      5.0000000
Abrion,      6.0000000
Abron,     67.0000000
Abrum,     22.0000000
Absalom,    131.0000000
Absalon,     33.0000000
Abshir,     37.0000000
Abtin,      6.0000000
Abu,    345.0000000
Abubacar,     14.0000000
Abubakar,    354.0000000
Abubakarr,     11.0000000
Abubakary,     10.0000000
Abubaker,     18.0000000
Abubakr,    203.0000000
Abukar,     22.0000000
Abundio,     47.0000000
Aby,     56.0000000
Abyan,     61.0000000
Ac,     44.0000000
Acari,     10.0000000
Access,      6.0000000
Ace,   4134.0000000
Acea,     58.0000000
Acein,      5.0000000
Acelin,     72.0000000
Acelino,      7.0000000
Acen,    152.0000000
Aceon,     13.0000000
Acer,     25.0000000
Aceson,     56.0000000
Aceton,     18.0000000
Acey,    145.0000000
Aceyn,     14.0000000
Achai,      6.0000000
Achary,     32.0000000
Acheron,     17.0000000
Achille,     51.0000000
Achilles,   1179.0000000
Achilleus,      5.0000000
Achillies,     60.0000000
Achintya,     29.0000000
Achraf,      5.0000000
Achyut,     37.0000000
Achyuth,     13.0000000
Aciano,      5.0000000
Acie,    522.0000000
Ackeem,     32.0000000
Acob,      5.0000000
Acxel,    185.0000000
Acy,     15.0000000
Ada,     34.0000000
Adae,      5.0000000
Adael,    114.0000000
Adahir,     44.0000000
Adahy,      6.0000000
Adaiah,     22.0000000
Adain,    266.0000000
Adair,   1112.0000000
Adal,    301.0000000
Adalberto,   3678.0000000
Adali,     24.0000000
Adalid,     99.0000000
Adalius,      9.0000000
Adam, 503075.0000000
Adama,    255.0000000
Adamm,      6.0000000
Adammichael,      6.0000000
Adamo,     11.0000000
Adams,    819.0000000
Adan,  20269.0000000
Adante,    160.0000000
Adar,     46.0000000
Adari,      5.0000000
Adarian,    173.0000000
Adarien,     15.0000000
Adarion,     31.0000000
Adarious,     24.0000000
Adarius,   1092.0000000
Adarrius,     97.0000000
Adarryl,     58.0000000
Adarryll,     29.0000000
Adarsh,    446.0000000
Adaryl,     10.0000000
Adaryll,     43.0000000
Adason,      5.0000000
Adavion,     16.0000000
Adbeel,      5.0000000
Adbiel,     10.0000000
Addai,     16.0000000
Addam,    707.0000000
Addan,     21.0000000
Adden,     80.0000000
Adderly,     11.0000000
Addicus,      5.0000000
Addie,      5.0000000
Addiel,     42.0000000
Addis,    109.0000000
Addisen,      6.0000000
Addison,   9430.0000000
Addonis,      5.0000000
Addy,     16.0000000
Addyson,     33.0000000
Ade,    229.0000000
Adean,     23.0000000
Adebayo,    104.0000000
Adebola,     10.0000000
Adebowale,     19.0000000
Adedamola,     78.0000000
Adedayo,     31.0000000
Adedeji,     43.0000000
Adedotun,      5.0000000
Adeeb,    190.0000000
Adeel,    270.0000000
Adeem,      5.0000000
Adeen,      5.0000000
