####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains female-only names
# columns: Female_name, number_of_uses
Abyan,     28.0000000
Abygael,     32.0000000
Abygail,   2041.0000000
Abygaile,     13.0000000
Abygale,    272.0000000
Abygayle,    129.0000000
Abyssinia,     13.0000000
Acacia,   3275.0000000
Acadia,    584.0000000
Acasia,    115.0000000
Accacia,     26.0000000
Accalia,     52.0000000
Ace,      5.0000000
Acea,      5.0000000
Acelin,     19.0000000
Acelyn,    246.0000000
Acelynn,    306.0000000
Acey,      5.0000000
Achaia,     62.0000000
Achan,      5.0000000
Achante,     35.0000000
Achanti,      5.0000000
Achazia,      6.0000000
Achel,     39.0000000
Achol,     34.0000000
Achsah,     21.0000000
Acia,      6.0000000
Acie,     11.0000000
Acire,     58.0000000
Acquanetta,     86.0000000
Acquanette,      5.0000000
Acsa,     61.0000000
Acura,     26.0000000
Acy,      5.0000000
Ada,  12969.0000000
Adabel,     26.0000000
Adabella,     73.0000000
Adabelle,     68.0000000
Adacia,      5.0000000
Adaelyn,      6.0000000
Adaeze,    313.0000000
Adah,    810.0000000
Adahli,     23.0000000
Adahlia,     38.0000000
Adai,     11.0000000
Adaia,     45.0000000
Adaiah,    140.0000000
Adaija,     34.0000000
Adaijah,     75.0000000
Adair,    705.0000000
Adaira,    118.0000000
Adaire,     39.0000000
Adairis,      5.0000000
Adaisha,    119.0000000
Adaisia,      7.0000000
Adaja,    100.0000000
Adajah,     72.0000000
Adaku,      7.0000000
Adalae,     69.0000000
Adalai,     51.0000000
Adalaide,    105.0000000
Adalay,     65.0000000
Adalaya,     10.0000000
Adalayde,      7.0000000
Adale,      5.0000000
Adalea,     29.0000000
Adaleah,     26.0000000
Adalee,    888.0000000
Adaleen,     22.0000000
Adaleena,     17.0000000
Adalei,     74.0000000
Adaleigh,    311.0000000
Adaleine,      6.0000000
Adalen,     12.0000000
Adalena,    178.0000000
Adalene,    135.0000000
Adaley,     85.0000000
Adalhi,      5.0000000
Adali,    294.0000000
Adalia,   1078.0000000
Adaliah,     54.0000000
Adalicia,     10.0000000
Adalid,     11.0000000
Adalida,     32.0000000
Adalie,    640.0000000
Adaliene,      5.0000000
Adalin,    148.0000000
Adalina,    508.0000000
Adalinda,     10.0000000
Adaline,   1324.0000000
Adalinn,      6.0000000
Adalis,    148.0000000
Adalisa,      6.0000000
Adalise,     24.0000000
Adaliz,    196.0000000
Adallyn,      6.0000000
Adaly,    318.0000000
Adalya,     10.0000000
Adalye,      5.0000000
Adalyn,   6754.0000000
Adalyna,     24.0000000
Adalyne,    169.0000000
Adalynn,   4284.0000000
Adalynne,    233.0000000
Adalys,     21.0000000
Adam,   1968.0000000
Adama,    394.0000000
Adamae,     11.0000000
Adamari,   1523.0000000
Adamarie,     99.0000000
Adamaris,   2544.0000000
Adamariz,    182.0000000
Adamary,    561.0000000
Adamarys,    190.0000000
Adamina,     12.0000000
Adamma,      5.0000000
Adan,     68.0000000
Adana,    176.0000000
Adaneli,     11.0000000
Adanelly,     28.0000000
Adanely,     88.0000000
Adanna,    386.0000000
Adannaya,      5.0000000
Adanya,    115.0000000
Adaobi,     35.0000000
Adaora,    128.0000000
Adar,     23.0000000
Adara,   1416.0000000
Adarah,     26.0000000
Adaria,     92.0000000
Adasha,     82.0000000
Adashia,     20.0000000
Adasia,    222.0000000
Adason,      5.0000000
Adassa,     18.0000000
Adasyn,    116.0000000
Adaugo,     36.0000000
Adavia,      5.0000000
Adaya,    479.0000000
Adayah,    100.0000000
Adayla,     29.0000000
