####
# derived from Social Security Administration records
# from 1960 to 2012
# This file contains unisex names
# columns: Name, number_of_female_uses,number_of_male_uses
# assign gender via ratio of male/female uses
Alyric      147.000      7.00000
Alyson      25108.0      10.0000
Alyssa      288145.      419.000
Alyx      1019.00      120.000
Amadi      140.000      107.000
Amahri      27.0000      62.0000
Amal      1954.00      245.000
Aman      154.000      1747.00
Amanda      752542.      2127.00
Amandeep      183.000      237.000
Amando      134.000      735.000
Amani      7832.00      1740.00
Amanie      155.000      5.00000
Amanpreet      125.000      34.0000
Amanti      29.0000      52.0000
Amar      131.000      3001.00
Amara      7904.00      143.000
Amare      224.000      3753.00
Amarea      111.000      6.00000
Amaree      475.000      580.000
Amari      10305.0      10629.0
Amaria      1577.00      5.00000
Amarie      1288.00      349.000
Amarii      185.000      215.000
Amarin      5.00000      5.00000
Amarion      44.0000      2698.00
Amaris      5372.00      132.000
Amarri      206.000      209.000
Amary      40.0000      5.00000
Amauri      419.000      973.000
Amaurie      57.0000      75.0000
Amaury      5.00000      1024.00
Amaya      20812.0      7.00000
Amaziah      59.0000      89.0000
Ambar      2087.00      5.00000
Amber      362066.      980.000
Amel      294.000      269.000
Amelia      85619.0      93.0000
Amen      168.000      374.000
Amer      12.0000      1074.00
Amere      114.000      443.000
Ameri      74.0000      6.00000
Amery      306.000      68.0000
Amey      572.000      27.0000
Ameya      341.000      178.000
Ami      6905.00      227.000
Amie      18722.0      19.0000
Amiel      46.0000      598.000
Amiere      7.00000      52.0000
Amil      224.000      347.000
Amillion      135.000      50.0000
Amir      314.000      19136.0
Amire      71.0000      376.000
Amiri      91.0000      473.000
Amisadai      113.000      5.00000
Amit      176.000      2673.00
Amoni      797.000      112.000
Amonti      5.00000      55.0000
Amor      700.000      160.000
Amore      485.000      98.0000
Amori      208.000      152.000
Amorie      147.000      34.0000
Amory      348.000      314.000
Amos      6.00000      10604.0
Amour      130.000      5.00000
Amouri      5.00000      14.0000
Amparo      1372.00      7.00000
Amran      109.000      31.0000
Amrit      330.000      446.000
Amy      622995.      1765.00
Amyre      98.0000      7.00000
An      884.000      794.000
Ana      85487.0      567.000
Anabel      7304.00      35.0000
Anael      70.0000      15.0000
Anahi      12597.0      31.0000
Anaiah      1375.00      6.00000
Anais      5532.00      32.0000
Anan      5.00000      43.0000
Ananda      1496.00      66.0000
Anari      336.000      12.0000
Anastasia      30689.0      23.0000
Anay      733.000      458.000
Ande      143.000      25.0000
Andera      688.000      12.0000
Andersen      126.000      491.000
Anderson      493.000      13213.0
Andi      2861.00      620.000
Andie      2666.00      178.000
Andin      5.00000      53.0000
Andra      3887.00      2236.00
Andrae      41.0000      1912.00
Andre      1737.00      104126.
Andrea      367482.      4946.00
Andrean      20.0000      5.00000
