1438824220,2015-08-05 18:23:40,S315.6.03,M,M,MMM, ;
1438824316,2015-08-05 18:25:16,FM22.6.06,M,M,MMF, ;
1438824548,2015-08-05 18:29:08,FM13.2.05,M,F,FMMM, ;
1438825055,2015-08-05 18:37:35,FM16.6.04,M,F,MMM,About 17/55 audience members appear female  ;
1438825344,2015-08-05 18:42:24,FM13.2.06,M,M,MMF, ;
1438825423,2015-08-05 18:43:43,S315.6.04,M,F,MMM, ;
1438825758,2015-08-05 18:49:18,FM13.2.07,M,M,MM, ;
1438827673,2015-08-05 19:21:13,FM22.7.01,M,M,F,About 17/60 attendees appear female ;
1438828139,2015-08-05 19:28:59,FM6.3.01,F,F,MFM, ;
1438828503,2015-08-05 19:35:03,FM22.7.03,M,F,M, ;
1438828512,2015-08-05 19:35:12,FM22.7.02,M,F,M,About 17/60 attendees appear female ;
1438828944,2015-08-05 19:42:24,FM8.7.01,M,F,MMM, ;
1438829803,2015-08-05 19:56:43,FM22.7.04,M,M,MMF,About 17/60 attendees appear female ;
1438829812,2015-08-05 19:56:52,FM6.3.02,F,M,MMF, ;
1438829941,2015-08-05 19:59:01,FM22.7.04,M,M,MM, ;
1438830331,2015-08-05 20:05:31,FM8.7.02,M,M,FMM, ;
1438831019,2015-08-05 20:16:59,FM6.3.03,F,M,MM, ;
1438831033,2015-08-05 20:17:13,FM22.7.05,M,M,FF,About 17/60 attendees appear female ;
1438831043,2015-08-05 20:17:23,FM22.7.05,M,M,F, ;
1438832077,2015-08-05 20:34:37,FM6.3.04,F,M,FM, ;
1438832134,2015-08-05 20:35:34,FM22.7.06,M,M,MF,About 17/60 attendees appear female ;
1438832169,2015-08-05 20:36:09,FM22.7.06,M,M,MF, ;
1438833224,2015-08-05 20:53:44,FM22.7.07,M,M,, ;
1438887392,2015-08-06 11:56:32,S318.9.01,F,M,MM, ;
1438887809,2015-08-06 12:03:29,FM13.4.01,F,M,MMM, ;
1438888353,2015-08-06 12:12:33,Suzanne Madden, IAUS315,F,F,MM, ;
1438888970,2015-08-06 12:22:50,S315.9.02,F,M,MM, ;
1438889019,2015-08-06 12:23:39,FM13.4.02,F,M,MMM, ;
1438889587,2015-08-06 12:33:07,FM6.4.02,M,M,MM, ;
1438889917,2015-08-06 12:38:37,FM13.4.03,F,F,M,talk over time ;
1438890752,2015-08-06 12:52:32,FM6.4.03,M,M,MMMMF, ;
1438891696,2015-08-06 13:08:16,FM6.4.04,M,M,MF, ;
1438891743,2015-08-06 13:09:03,318.9.04,F,M,M, ;
1438893685,2015-08-06 13:41:25,Martin Bureau, IAUS315,F,M,F, ;
1438894076,2015-08-06 13:47:56,Joao Alves, IAUS315,M,M,MM, ;
1438895152,2015-08-06 14:05:52,Enrique Vazquez-Semadeni, IAUS315,M,M,MMF, ;
1438896815,2015-08-06 14:33:35,Philip Hopkins, IAUS315,M,M,MMMF, ;
1438898496,2015-08-06 15:01:36,Santiago Garcia-Burillo, IAUS315,M,M,FMF, ;
1438898920,2015-08-06 15:08:40,FM13.5.05,M,F,FMM, ;
1438899806,2015-08-06 15:23:26,FM13.5.06,M,M,MFM, ;
1438904138,2015-08-06 16:35:38,FM13.5.07,M,M,M, ;
1438907153,2015-08-06 17:25:53,FM6.6.01,F,M,MF,Chair asked second question ;
1438917049,2015-08-06 20:10:49,FM13.7.03,M,F,MM, ;
1438917073,2015-08-06 20:11:13,FM13.6.02,M,M,MM, ;
1438981350,2015-08-07 14:02:30,Phil Hopkins, DJ.1.01,F,M,MM, ;
1438982560,2015-08-07 14:22:40,DJ.1.02,F,M,M, ;
1438983082,2015-08-07 14:31:22,DC1.01.1,F,F,M, ;
1438983103,2015-08-07 14:31:43,DC1.01.2,F,M,FMF, ;
1438983311,2015-08-07 14:35:11,DJ.1.03,F,M,M, ;
1438983798,2015-08-07 14:43:18,DC.1.04,F,M,M, ;
1438985111,2015-08-07 15:05:11,DJ.1.04,F,M,M, ;
1438992955,2015-08-07 17:15:55,DC.2.01,M,M,MM, ;
1438993423,2015-08-07 17:23:43,DC.2.02,M,M,M, ;
1438994001,2015-08-07 17:33:21,DC.2.03,M,M,F, ;
