1483637425,2017-01-05 09:30:25,216.08,F,M,F:Q,M:Q,M:Q,M:Q,, ;
1483637785,2017-01-05 09:36:25,209.7,F,M,F:Q,,Question by chair ;
1483647130,2017-01-05 12:12:10,230.01,F,F,M:Q,M:Q,F:Q,,Third q was chair  ;
1483647441,2017-01-05 12:17:21,225.01,M,M,M:Q,F:Q,F:Q,, ;
1483648310,2017-01-05 12:31:50,225.02,M,F,M:Q,M:Q,,Same person asking multiple questions  ;
1483648515,2017-01-05 12:35:15,230.02,F,M,M:Q,F:Q,M:Q,, ;
1483648749,2017-01-05 12:39:09,230.03,F,F,F:C,M:Q,M:Q,M:Q,, ;
1483648753,2017-01-05 12:39:13,K. Ward-Duong,F,F,F:C,M:Q,M:Q,M:Q,,dissertation talk ;
1483649092,2017-01-05 12:44:52,225.03,M,F,F:Q,M:C,M:C,, ;
1483650051,2017-01-05 13:00:51,230.04,F,F,M:Q,M:Q,F:Q,, ;
1483650059,2017-01-05 13:00:59,D. Bardalez Gagliuffi,F,F,M:Q,M:Q,F:Q,,dissertation talk ;
1483650091,2017-01-05 13:01:31,225.04,M,F,M:Q,M:C,M:Q,M:Q,, ;
1483650679,2017-01-05 13:11:19,B. Morris,F,M,M:Q,F:Q,M:Q,F:Q,, ;
1483650681,2017-01-05 13:11:21,230.05,F,M,M:Q,F:Q,M:Q,F:Q,, ;
1483650988,2017-01-05 13:16:28,225.05,M,F,M:Q,M:Q,, ;
1483650989,2017-01-05 13:16:29,225.06,M,F,M:Q,M:Q,, ;
1483651357,2017-01-05 13:22:37,M. Cuntz,F,M,M:C,M:Q,F:Q,,last q = chair question,  ;
1483651361,2017-01-05 13:22:41,230.06,F,M,M:C,M:Q,F:Q,, ;
1483651679,2017-01-05 13:27:59,225.06,M,M,F:Q,F:Q,M:Q,, ;
1483718900,2017-01-06 08:08:20,310.01,F,M,M:Q,M:Q,, ;
1483718910,2017-01-06 08:08:30,308.01,M,M,M:Q,M:Q,M:Q,,Last q from chair ;
1483718923,2017-01-06 08:08:43,314.01,F,F,F:Q,M:Q,M:C,,Last question was a recommendation to seek funding from a particular source  ;
1483719200,2017-01-06 08:13:20,305.01 Johnson,F,F,,No questions ;
1483719527,2017-01-06 08:18:47,314.02,F,M,F:Q,M:Q,, ;
1483719566,2017-01-06 08:19:26,308.02,M,M,M:Q,M:C,F:Q,, ;
1483719659,2017-01-06 08:20:59,309.02,M,M,M:Q,M:Q,M:Q,M:C,F:C,,Male chair asked one of the questions. ;
1483720013,2017-01-06 08:26:53,305.02 Fu,F,M,M:Q,F:Q,F:Q,M:Q,, ;
1483720284,2017-01-06 08:31:24,308.03,M,M,M:Q,M:Q,M:Q,,Second q from chair ;
1483720654,2017-01-06 08:37:34,310.02,F,F,F:Q,F:Q,M:Q,, ;
1483720711,2017-01-06 08:38:31,310.03,F,M,M:Q,, ;
1483720781,2017-01-06 08:39:41,314.04,F,M,M:Q,F:Q,, ;
1483720863,2017-01-06 08:41:03,308.04,M,F,M:Q,M:Q,, ;
1483720985,2017-01-06 08:43:05,305.03 zinn,F,M,F:Q,F:Q,F:Q,M:Q,,Chair was 2nd and 3rd Qs ;
1483721314,2017-01-06 08:48:34,Christine Black,M,F,M:Q,M:Q,, ;
1483721382,2017-01-06 08:49:42,Ed Prather - exoplanets ,F,M,M:Q,M:Q,M:Q,, ;
1483721803,2017-01-06 08:56:43,309.04,M,F,M:Q,M:Q,M:Q,M:Q,,I did this shortly after the fact from memory so I apologize if I got it wrong but I don't remember any women asking a question. ;
1483721856,2017-01-06 08:57:36,305.04 Soderblom,F,M,M:Q,F:Q,,Chair was q2 ;
1483721970,2017-01-06 08:59:30,Robert Wagner,F,M,F:Q,M:Q,M:Q,, ;
1483721996,2017-01-06 08:59:56,308.05,M,M,M:Q,F:Q,, ;
1483722544,2017-01-06 09:09:04,314.07,F,M,F:Q,M:Q,M:Q,M:Q,M:Q,, ;
1483722771,2017-01-06 09:12:51,305.05 pinnsoneault,F,M,F:Q,M:Q,,Q2 started with a lengthy comment ;
1483723860,2017-01-06 09:31:00,305.07 Shetrone ,F,M,F:Q,M:Q,M:Q,F:Q,,Chair asked 1st Q ;
1483723957,2017-01-06 09:32:37,308.07,M,F,M:Q,, ;
1483727512,2017-01-06 10:31:52,Karin Oberg,F,F,F:Q,M:Q,M:Q,,Newton Lacy Prize Talk ;
1483733225,2017-01-06 12:07:05,327.01,M,M,M:Q,M:Q,, ;
1483733348,2017-01-06 12:09:08,321.01,F,F,M:Q,F:Q,F:Q,F:Q,, ;
1483733761,2017-01-06 12:16:01,327.02,M,F,M:Q,F:Q,, ;
1483734053,2017-01-06 12:20:53,Trevor David,F,M,M:Q,F:Q,,last question = chair question ;
