; test
1465382576,2016-06-08 03:42:56,Matthias Maercker,M,M,FFMFM, ;
1465457781,2016-06-09 00:36:21,Kowalski,M,M,MMMM, ;
1465457784,2016-06-09 00:36:24,Adam Kowalski,M,M,MMMM, ;
1465459196,2016-06-09 00:59:56,Caballero,M,M,MMFMMM, ;
1465459227,2016-06-09 01:00:27,Jose A. Caballero,M,M,MMFMMM, ;
1465460431,2016-06-09 01:20:31,Kochukhov ,M,M,MMMM, ;
1465460443,2016-06-09 01:20:43,Oleg Kochukhov,M,M,MMMM, ;
1465465035,2016-06-09 02:37:15,Vidotto,M,F,FMMMM,Plenty of comments and concerns ;
1465465100,2016-06-09 02:38:20,Aline Vidotto,M,F,FMMMM, ;
1465465111,2016-06-09 02:38:31,Vidotto,M,F,FMMMM,every one was a comment/lecture, including the final one from the chair ;
1465466467,2016-06-09 03:01:07,Dumusque,M,M,MMFFM, ;
1465466478,2016-06-09 03:01:18,Xavier Dumusque,M,M,MMFFM, ;
1465467187,2016-06-09 03:13:07,Dumusque,M,M,MMFFM,1st is a comment, 5th is a comment ;
1465467240,2016-06-09 03:14:00,Dumusque,M,M,MMFFM,1st and 5th were comments ;
1465467680,2016-06-09 03:21:20,Beate Stelzer,M,F,MMFMM, ;
1465467683,2016-06-09 03:21:23,Stelzer,M,F,MMFMM,1st was a comment + a kind of question,  ;
1465467684,2016-06-09 03:21:24,Stelzer,M,F,MMFMM, ;
1465468638,2016-06-09 03:37:18,Annelies Mortier,M,F,FM, ;
1465468648,2016-06-09 03:37:28,Mortier,M,F,MFM,1st was a comment,  ;
1465468657,2016-06-09 03:37:37,Mortier,M,F,MFM, ;
1465475035,2016-06-09 05:23:55,Poul Erik Nissen,F,M,MMF, ;
1465476182,2016-06-09 05:43:02,Jorge Melendez,F,M,FMM, ;
1465476755,2016-06-09 05:52:35,Solanki,F,M,MM, ;
1465477255,2016-06-09 06:00:55,Elisa Delgado Mena,F,F,MFM, ;
1465478083,2016-06-09 06:14:43,Basri,F,M,M, ;
1465478107,2016-06-09 06:15:07,Lorenzo Spina (Thursday splinter),F,M,FMF, ;
1465478669,2016-06-09 06:24:29,Booth,F,F,FM, ;
1465478808,2016-06-09 06:26:48,Morgan Deal,F,M,FMM, ;
1465479464,2016-06-09 06:37:44,Lehtinen,F,M,M,question was mostly a lecture ;
1465481034,2016-06-09 07:03:54,Bengt Gustafsson,F,M,M, ;
1465482242,2016-06-09 07:24:02,Karin Lind,F,F,MFM, ;
1465482315,2016-06-09 07:25:15,See,F,M,MM, ;
1465483343,2016-06-09 07:42:23,Martin Asplund,F,M,MMM, ;
1465483570,2016-06-09 07:46:10,Jouve,M,F,M, ;
1465484055,2016-06-09 07:54:15,Satoshi Honda,F,M,FF, ;
1465484455,2016-06-09 08:00:55,Metcalfe,M,M,MM,2nd was a comment ;
1465484900,2016-06-09 08:08:20,Paul Beck,F,M,FFMM, ;
1465485049,2016-06-09 08:10:49,Auguston,M,M,,no questions ;
1465486347,2016-06-09 08:32:27,variability splinter *discussion*,M,,MMMMMMMFMMMMFMFMMMMMMMMM,Total unique participants = 9 men & 2 women.  ;
1465544110,2016-06-10 00:35:10,Amanda Karakas,M,F,MFFFM, ;
1465545357,2016-06-10 00:55:57,Noriyuki Matsunaga,M,M,MMFM, ;
1465546569,2016-06-10 01:16:09,Ka Tat Wong,M,M,MFM, ;
1465547127,2016-06-10 01:25:27,Jamie Tayar,M,F,M, ;
1465547760,2016-06-10 01:36:00,Meredith L. Rawls,M,F,MM, ;
1465550888,2016-06-10 02:28:08,Soï¿¿a Feltzing,M,F,MMM, ;
1465552368,2016-06-10 02:52:48,Louise Howes,M,F,MMMFM, ;
1465553602,2016-06-10 03:13:22,Jenny Patience (Plenary),M,F,MMM, ;
1465554956,2016-06-10 03:35:56,Andrea Dieball,M,F,MMMM, ;
